,,,70,90,53,16,89,40,8,27,29,15,28,9,,,,,COLORBLIND,,,27,34,19,9,37,10,3,21,5,18,3
ID,Colorblind - Yes/1 or No/0,Pink Party: How did you inform your answer?,Color perception,Color associations,Emotional exp,Past experiences,Stereotype/Culture,Meaning/Context,Past usage/responses,Logic/abstract instinct,Embodied Instinct,Misunderstanding,Arb/Guess,No answer,"Painter (1), ChatGPT(2), Colorseeing (3), Colorblind (4)",,,,ID,Colorblind - Yes/1 or No/0,Pink Party: How did you inform your answer?,Color perception,Color associations,Emotional exp,Past experiences,Stereotype/Culture,Meaning/Context,Past usage/responses,Instinct,Misunderstanding,Arb/Guess,No answer
CM002,0,The color pink made me think of frilly things,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM004,0,"I thought of what the color ""pink"" is usually associated with",1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM005,0,I based it off of the color pink and its associations.,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM006,0,By thinking about the color.,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM007,0,Associating the color with the theme of the party,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM008,0,The feeling and imagery associated with pink,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM009,0,"I associate pink with happiness and cuteness, possibly from social stigma and other social influences",,,1,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
CM010,0,I thought of expensive things when I heard the word pink,1,1,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM011,0,What society has said about the color pink,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
cm013,0,Based on references in pop culture.,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
CM015,0,I thought about the emotions that pink inspires in people and what I interpret pink to mean.,,1,1,,,1,,,,,,,3,,,,,,,,,,,,,,,,,
CM016,0,"colors of clothes and lights, chatter",1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM017,0,Pink is associated with lighthearted fun in my mind; blushing,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM018,0,Pink is affection,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM019,0,pink is warm and fuzzy,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM020,0,associates pink with feelings of happiness,,1,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,
CM021,1,Pink is bright and makes me think of happiness,,1,1,,,,,,,,,,4,,,,CM021,1,Pink is bright and makes me think of happiness,,1,1,,,,,,,,
CM022,1,Pink is a positive color,,,1,,,,,,,,,,4,,,,CM022,1,Pink is a positive color,,,1,,,,,,,,
CM023,1,Flamingos are pink and flamboyant,1,,,,,,,,,,,,4,,,,CM023,1,Flamingos are pink and flamboyant,1,,,,,,,,,,
CM024,1,I thought of the color pink as flamboyant like flamingos,1,,,,,,,,,,,,4,,,,CM024,1,I thought of the color pink as flamboyant like flamingos,1,,,,,,,,,,
CM025,0,"Pink is associated with innocence, infantile",,1,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,
CM026,1,Past experience,,,,1,,,,,,,,,4,,,,CM026,1,Past experience,,,,1,,,,,,,
CM027,1,pink is associated with certain activities,,1,,,1,,,,,,,,4,,,,CM027,1,pink is associated with certain activities,,1,,,1,,,,,,
CM028,1,Pink is the color of love,,1,,,,,,,,,,,4,,,,CM028,1,Pink is the color of love,,1,,,,,,,,,
CM029,1,pink is vivid,1,,,,,,,,,,,,4,,,,CM029,1,pink is vivid,1,,,,,,,,,,
CM030,1,Based on the generic symbols for a man and women. In this case the women is pink.,,,,,1,,,,,,,,4,,,,CM030,1,Based on the generic symbols for a man and women. In this case the women is pink.,,,,,1,,,,,,
CM031,1,"I thought of the general vibes of. ""pink"" personality",,1,1,,1,,,,,,,,4,,,,CM031,1,"I thought of the general vibes of. ""pink"" personality",,1,1,,1,,,,,,
CM032,1,"I know that pink is typically associated with happier activities and is a ""bright"" color",1,1,1,,,,,,,,,,4,,,,CM032,1,"I know that pink is typically associated with happier activities and is a ""bright"" color",1,1,1,,,,,,,,
CM033,1,pink is associated with feminine traits and extraversion,,1,,,1,,,,,,,,4,,,,CM033,1,pink is associated with feminine traits and extraversion,,1,,,1,,,,,,
CM034,1,Pink is commonly a feminine characteristic,,,,,1,,,,,,,,4,,,,CM034,1,Pink is commonly a feminine characteristic,,,,,1,,,,,,
